"id","cluster","cluster_name","feature","user_story","expected_behaviour","evidence","impl_status","phase","test_status","errors","fix_status","retest_status","notes"
"F-C01-01","C01","Editor shell & document lifecycle","Default document landing & dynamic routing","As a writer, I want a default document to open when I visit the app and a stable URL per document, so that I can land in an editor immediately and bookmark/share specific docs.","The home route ('/') renders EditorWorkspace with documentId=DEFAULT_DOCUMENT_ID ('demo-document'). The dynamic route '/doc/[id]' normalizes the URL param via normalizeDocumentId() (lowercases, replaces non [a-z0-9-] with '-', collapses/strips dashes, caps at 96 chars, falls back to 'demo-document' if empty) and mounts EditorWorkspace keyed on that id so navigation between docs fully remounts the workspace. EditorWorkspace is dynamically imported with ssr:false (client-only mount). Page-level <main> has role=main, an sr-only h1 'Lash Collaborative Editor', and a section labelled 'Document editor'.","apps/web/app/page.tsx:5-19, apps/web/app/doc/[id]/page.tsx:5-28, apps/web/lib/documentRegistry.ts:1-26","implemented","tested","pass","","none","pending",""
"F-C01-02","C01","Editor shell & document lifecycle","Document creation","As a writer, I want to create a new blank document with one click, so that I can start fresh work without leaving the editor.","Clicking the 'New document' button (Icon 'plus', data-testid='new-document-button') calls handleCreateDocument: it generates a unique id via createNewDocumentId() ('doc-<base36 time>-<8-char uuid/random>', normalized), upserts it into localStorage with title 'Untitled document', refreshes the document list, and navigates (router.push) to documentPath(nextDocumentId) ('/doc/<id>').","apps/web/components/editor/EditorWorkspace.tsx:1342-1396, apps/web/lib/documentRegistry.ts:143-149,113-141","implemented","tested","pass","","none","pending",""
"F-C01-03","C01","Editor shell & document lifecycle","Document listing & switching","As a writer, I want to see and switch between my documents from a dropdown, so that I can navigate my workspace.","A <select> (aria-label 'Open document', data-testid='document-open-select') lists documents from listDocuments(localStorage). The list always includes the 'demo-document' pinned first, then other records sorted by updatedAt descending; each option's value is documentPath(id) and label is the stored title. The active document is always present in the options (synthesized if missing). Changing the select calls router.push to the chosen path. Documents are loaded on mount and the active doc is upserted into the registry when activeDocumentId changes.","apps/web/components/editor/EditorWorkspace.tsx:1351-1396,484-498, apps/web/lib/documentRegistry.ts:58-83","implemented","tested","pass","","none","pending",""
"F-C01-04","C01","Editor shell & document lifecycle","Editable document title with persistence","As a writer, I want to rename my document inline and have the name persist, so that documents are identifiable across sessions and tabs.","A text input (aria-label 'Document title', data-testid='lash-doc-title-input') is bound to docTitle state, initialized from readDocumentTitle(localStorage). On change it updates state and calls saveDocumentTitle() (writes 'lash:title:<id>' key, upserts registry record, normalizes empty -> 'Untitled document') then refreshes the list. On blur it normalizes/persists again. The browser tab title is set to '<title> — Lash' whenever docTitle changes.","apps/web/components/editor/EditorWorkspace.tsx:1528-1549,500-504,1627-1636, apps/web/lib/documentRegistry.ts:85-111,28-31","implemented","tested","pass","","none","pending",""
"F-C01-05","C01","Editor shell & document lifecycle","TipTap editor mount & lifecycle","As a writer, I want a rich-text editor that loads with my document's extensions and shows a loading state, so that I can edit content reliably.","useEditor() mounts a TipTap editor with createLashEditorExtensions() configured per-document (outline persistence keyed to documentId via localStorage, image uploader, optional Yjs collaboration when realtime enabled, link prompt handler, doc-chip resolver), autofocus 'end', immediatelyRender:false. Until isMounted && editor are ready a 'Preparing your editor…' placeholder is shown; then EditorContent renders with class 'lash-editor-content'. Editor editability is toggled via setEditable based on invite access scope. The workspace remounts (key=documentId) per document so editor state is isolated.","apps/web/components/editor/EditorWorkspace.tsx:557-596,637-639,1696-1733, apps/web/app/doc/[id]/page.tsx:24","implemented","tested","pass","","none","pending",""
"F-C01-06","C01","Editor shell & document lifecycle","App shell layout (sidebar / topbar / canvas / rail grid)","As a user, I want a consistent workspace layout with navigation chrome around my document, so that tools are organized and predictable.","AppShell renders a CSS grid container ('lash-app') hosting sidebar, topbar, a focusable canvas ('lash-canvas', tabIndex=-1) wrapping the document, and the rail (only when railOpen). It sets data attributes (data-focus-mode, data-rail-open, data-sidebar-collapsed, data-mobile-drawer, data-rail-mobile, data-entrance) that drive CSS for collapse/focus/responsive behavior. On first mount a transient data-entrance='true' flag is set for 800ms then cleared to run entrance choreography once. A backdrop button closes any open mobile drawer.","apps/web/components/shell/AppShell.tsx:31-110","implemented","tested","pass","","none","pending",""
"F-C01-07","C01","Editor shell & document lifecycle","Left sidebar with navigation, outline, and collapse","As a user, I want a collapsible left sidebar with nav links and a live document outline, so that I can navigate sections and reclaim space.","Sidebar shows brand, a static PRIMARY_NAV (Current doc[active], Home, Inbox, Starred, Shared with me) and SECONDARY_NAV (All documents, Settings) as non-functional buttons, plus a live outline (OutlinePanel) from outlineItems. A footer collapse toggle (data-testid='sidebar-collapse-toggle', aria-pressed) flips sidebarCollapsed; when collapsed an 'Outline' access button (data-testid='sidebar-outline-access') re-expands it. Outline is hidden entirely when focus mode is on. Clicking an outline heading focuses/scrolls the editor (handleFocusHeading); the disclosure toggles heading collapse (handleToggleHeading). Note: nav links are presentational only (no onClick/routing).","apps/web/components/shell/Sidebar.tsx:31-154, apps/web/components/editor/EditorWorkspace.tsx:963-982,1566-1576","partial","verified","partial","[ux/medium] Outline and collapse work: collapse toggle flips sidebarCollapsed (aria-pressed), the collapsed 'Outline' access button re-expands, outline is hidden in focus mode, and outline clicks focus/scroll the editor or toggle heading collapse. However PRIMARY_NAV (Current doc, Home, Inbox, Starred, Shared with me) and SECONDARY_NAV (All documents, Settings) are rendered as buttons with NO onClick handler — pure dead controls. 'Current doc' even carries aria-current='page' and data-active, presenting a non-functional control as the active nav target. This is misleading affordance for a shipped UI.","fixed","pass",""
"F-C01-08","C01","Editor shell & document lifecycle","Top bar chrome (title, focus/suggest toggles, share, avatars, mobile menu)","As a user, I want a sticky top bar exposing document state and quick actions, so that key controls are always reachable.","TopBar shows the doc icon + title, an AutosaveIndicator, a focus-mode toggle (data-testid='focus-mode-toggle', aria-pressed, swaps maximize/minimize icon), a suggest-mode toggle (data-testid='suggest-mode-toggle', aria-pressed, flips isSuggestMode adding a 'Suggesting' meta badge), a Share button (data-testid='topbar-share-button') that opens the Share rail tab, a static 3-avatar collaborator stack (Apollo/Ada Lovelace/Grace Hopper), and a mobile menu button that opens the mobile sidebar drawer. The 'extras' slot injects the document open-select + new-document button. Note: the avatar stack is hardcoded, not derived from live presence.","apps/web/components/shell/TopBar.tsx:27-143, apps/web/components/editor/EditorWorkspace.tsx:1551-1564,1559","partial","verified","partial","[ux/medium] TopBar shows doc icon+title, AutosaveIndicator, focus-mode toggle (aria-pressed, maximize/minimize swap), suggest-mode toggle (aria-pressed, drives the 'Suggesting' meta badge), a Share button that opens the Share rail tab, a mobile menu button, and the extras slot (document select + new-doc button). All wiring is correct. The defect is the 3-avatar collaborator stack: it is hardcoded (Apollo/Ada Lovelace/Grace Hopper) with title='<name> · viewing now', presenting fake live presence as real. A separate, genuinely live presence bar (realtimePresence) exists near the document header, making the top-bar stack redundant and actively misleading.","fixed","pass",""
"F-C01-09","C01","Editor shell & document lifecycle","Right rail with section navigation (Chat/History/AI/Share/Activity)","As a user, I want an activity rail organized into jumpable sections, so that I can reach chat, history, AI, sharing, and activity panels.","RightRail renders chip buttons (Chat, History, AI, Share, Activity) over a scrolling column where all five panels are siblings. Clicking a chip calls onChange and smoothly scrolls to that section (respecting prefers-reduced-motion); an IntersectionObserver updates the active chip to whatever section is most visible, with a 400ms scroll-lock after a click and a -40% bottom rootMargin to suppress overscroll false fires. The History chip shows a badge with the version count. A close button (when provided) closes the rail.","apps/web/components/shell/RightRail.tsx:41-150, apps/web/components/editor/EditorWorkspace.tsx:1268-1340,1578-1588","implemented","tested","pass","","none","pending",""
"F-C01-10","C01","Editor shell & document lifecycle","Panel toggling via keyboard shortcuts (focus mode, rail)","As a power user, I want keyboard shortcuts to toggle focus mode and the activity rail, so that I can manage screen real estate without the mouse.","Cmd/Ctrl+Shift+F toggles isFocusMode (listener skipped on coarse-pointer/touch devices to avoid hijacking iOS keyboard); focus mode sets data-focus-mode on the shell, hides the toolbar and outline. Cmd/Ctrl+/ toggles railOpen. Both ignore IME composition (keyCode 229), key repeat, and call preventDefault. The top-bar focus-mode button and the handleFocusModeToggle callback also toggle the same state.","apps/web/components/editor/EditorWorkspace.tsx:1181-1214,984-986,1611-1612,1573","implemented","tested","pass","","none","pending",""
"F-C01-11","C01","Editor shell & document lifecycle","Mobile drawers for sidebar and rail","As a mobile user, I want the sidebar and activity rail to open as overlay drawers with proper focus handling, so that the app is usable on small screens.","On narrow widths the sidebar/rail become slide-in drawers controlled by mobileSidebarOpen/mobileRailOpen. Opening stashes the trigger element so focus returns to it on close; Escape closes any open drawer (AppShell key handler); a backdrop click closes drawers; while a drawer is open the canvas is marked 'inert' (no tab/AT reach) and the body is scroll-locked via position:fixed at the negative prior scrollY (restored on close). Opening the Share panel on <=767px also opens the mobile rail drawer.","apps/web/components/editor/EditorWorkspace.tsx:510-534,1398-1408,1512-1526, apps/web/components/shell/AppShell.tsx:54-76,97-107","implemented","tested","pass","","none","pending",""
